Date_YMD,Date,Daily Confirmed,Daily Deceased
2020-08-18,18/August/2020,16470,700
2020-08-19,19/August/2020,15620,694
2020-08-20,20/August/2020,14386,699
2020-08-21,21/August/2020,15562,672
2020-08-22,22/August/2020,7124,563
2020-08-18,18/August/2020,16470,700
2020-08-19,19/August/2020,15620,694
2020-08-20,20/August/2020,14386,699
2020-08-21,21/August/2020,15562,672
2020-08-22,22/August/2020,7124,563
2020-08-23,23/August/2020,4722,556
2020-08-24,24/August/2020,16093,722
2020-08-25,25/August/2020,16334,716
2020-08-25,25/August/2020,16334,716
2020-08-26,26/August/2020,17945,686
2020-08-27,27/August/2020,17200,632
2020-08-27,27/August/2020,17200,632
2020-08-28,28/August/2020,16904,635
2020-08-29,29/August/2020,8187,544
2020-08-30,30/August/2020,4756,530
2020-08-31,31/August/2020,16672,697
2020-09-01,01/September/2020,17791,618
2020-09-02,02/September/2020,17607,611
2020-09-03,03/September/2020,16917,657
2020-09-04,04/September/2020,16637,588
2020-09-05,05/September/2020,7288,493
2020-09-06,06/September/2020,4486,506
2020-09-07,07/September/2020,16486,615
2020-09-08,08/September/2020,17156,598
2020-09-09,09/September/2020,16604,617
2020-09-10,10/September/2020,16258,527
2020-09-11,11/September/2020,15490,547
2020-09-12,12/September/2020,6835,488
2020-09-13,13/September/2020,4247,454
2020-09-14,14/September/2020,16153,599
2020-09-15,15/September/2020,12049,486
2020-09-16,16/September/2020,4918,446
2020-09-17,17/September/2020,16633,596
2020-09-18,18/September/2020,15850,523
2020-09-19,19/September/2020,6759,456
2020-09-20,20/September/2020,4155,435
2020-09-21,21/September/2020,16026,559
2020-09-22,22/September/2020,16471,508
2020-09-23,23/September/2020,15835,498
2020-09-24,24/September/2020,15037,477
2020-09-25,25/September/2020,14994,483
2020-09-26,26/September/2020,6749,385
2020-09-27,27/September/2020,4111,429
2020-09-28,28/September/2020,16434,546
2020-09-29,29/September/2020,16572,533
2020-09-30,30/September/2020,15600,494
2020-10-01,01/October/2020,14675,514
2020-10-02,02/October/2020,14264,464
2020-10-03,03/October/2020,6291,439
2020-10-04,04/October/2020,4051,407
2020-10-05,05/October/2020,14679,568
2020-10-06,06/October/2020,15964,570
2020-10-07,07/October/2020,15569,535
2020-10-08,08/October/2020,14865,502
2020-10-09,09/October/2020,14622,509
2020-10-10,10/October/2020,6750,493
2020-10-11,11/October/2020,4597,499
2020-10-12,12/October/2020,16654,590
2020-10-13,13/October/2020,17951,585
2020-10-14,14/October/2020,16751,629
2020-10-15,15/October/2020,15678,613
2020-10-16,16/October/2020,16787,610
2020-10-17,17/October/2020,7479,481
2020-10-18,18/October/2020,4983,565
2020-10-19,19/October/2020,19850,699
2020-10-20,20/October/2020,20659,685
2020-10-21,21/October/2020,19889,595
2020-10-22,22/October/2020,19697,626
2020-10-23,23/October/2020,19174,587
2020-10-24,24/October/2020,8103,583
2020-10-25,25/October/2020,5356,573
2020-10-26,26/October/2020,21642,709
2020-10-27,27/October/2020,21624,640
2020-10-28,28/October/2020,20695,642
2020-10-29,29/October/2020,19719,598
2020-10-30,30/October/2020,17275,597
2020-10-31,31/October/2020,7205,537
2020-11-01,01/November/2020,4449,554
2020-11-02,02/November/2020,11095,670
2020-11-03,03/November/2020,20164,689
2020-11-04,04/November/2020,19599,706
2020-11-05,05/November/2020,19456,727
2020-11-06,06/November/2020,17910,684
2020-11-07,07/November/2020,7612,573
2020-11-08,08/November/2020,4987,651
2020-11-09,09/November/2020,21396,812
2020-11-10,10/November/2020,21198,737
2020-11-11,11/November/2020,20115,740
2020-11-12,12/November/2020,19915,729
2020-11-13,13/November/2020,18900,725
2020-11-14,14/November/2020,8625,624
2020-11-15,15/November/2020,5213,642
2020-11-16,16/November/2020,6372,690
2020-11-17,17/November/2020,22877,890
2020-11-18,18/November/2020,20620,793
2020-11-19,19/November/2020,18934,760
2020-11-20,20/November/2020,20683,790
2020-11-21,21/November/2020,10218,717
2020-11-22,22/November/2020,5660,733
2020-11-23,23/November/2020,24006,879
2020-11-24,24/November/2020,25713,790
2020-11-25,25/November/2020,24649,820
2020-11-26,26/November/2020,24561,841
2020-11-27,27/November/2020,24446,820
2020-11-28,28/November/2020,11738,745
2020-11-29,29/November/2020,6193,719
2020-11-29,29/November/2020,6193,719
2020-11-30,30/November/2020,27910,840
2020-12-01,01/December/2020,30173,946
2020-12-02,02/December/2020,30826,928
2020-12-03,03/December/2020,31378,859
2020-12-04,04/December/2020,31131,747
2020-12-05,05/December/2020,15931,754
2020-12-06,06/December/2020,6365,828
2020-12-07,07/December/2020,33920,999
2020-12-08,08/December/2020,33253,1002
2020-12-09,09/December/2020,33663,975
2020-12-10,10/December/2020,35348,984
2020-12-11,11/December/2020,34268,972
2020-12-12,12/December/2020,16442,902
2020-12-13,13/December/2020,6896,864
2020-12-14,14/December/2020,36477,1040
2020-12-15,15/December/2020,35614,1089
2020-12-16,16/December/2020,34955,1119
2020-12-17,17/December/2020,34426,1110
2020-12-18,18/December/2020,35302,1014
2020-12-19,19/December/2020,18155,923
2020-12-20,20/December/2020,7451,1058
2020-12-21,21/December/2020,39167,1263
2020-12-22,22/December/2020,37794,1184
2020-12-23,23/December/2020,36644,1171
2020-12-24,24/December/2020,27822,1055
2020-12-25,25/December/2020,5050,1007
2020-12-26,26/December/2020,13336,1160
2020-12-27,27/December/2020,8249,1208
2020-12-28,28/December/2020,42012,1400
2020-12-29,29/December/2020,42246,1356
2020-12-30,30/December/2020,40568,1311
2020-12-31,31/December/2020,31846,1188
2021-01-01,01/January/2021,6347,1196
2021-01-02,02/January/2021,15622,1321
2021-01-03,03/January/2021,10009,1304
2021-01-04,04/January/2021,44899,1660
2021-01-05,05/January/2021,45853,1611
2021-01-06,06/January/2021,44916,1663
2021-01-07,07/January/2021,47078,1716
2021-01-08,08/January/2021,45648,1664
2021-01-09,09/January/2021,23431,1389
2021-01-10,10/January/2021,10788,1608
2021-01-11,11/January/2021,50542,1882
2021-01-12,12/January/2021,49157,1756
2021-01-13,13/January/2021,47299,1712
2021-01-14,14/January/2021,48057,1758
2021-01-15,15/January/2021,46128,1750
2021-01-16,16/January/2021,24145,1505
2021-01-17,17/January/2021,10481,1532
2021-01-18,18/January/2021,50892,1787
2021-01-19,19/January/2021,50845,1803
2021-01-20,20/January/2021,47777,1655
2021-01-21,21/January/2021,46957,1645
2021-01-22,22/January/2021,47673,1583
2021-01-23,23/January/2021,24987,1397
2021-01-24,24/January/2021,10035,1405
2021-01-25,25/January/2021,49665,1646
2021-01-26,26/January/2021,49671,1512
2021-01-27,27/January/2021,47890,1384
2021-01-28,28/January/2021,45230,1362
2021-01-29,29/January/2021,41651,1284
2021-01-30,30/January/2021,21668,1105
2021-01-31,31/January/2021,7918,1103
2021-02-01,01/February/2021,11996,1097
2021-02-02,02/February/2021,42374,1329
2021-02-03,03/February/2021,38490,1217
2021-02-04,04/February/2021,37059,1087
2021-02-05,05/February/2021,36362,1011
2021-02-06,06/February/2021,17717,956
2021-02-07,07/February/2021,6617,835
2021-02-08,08/February/2021,38300,978
2021-02-09,09/February/2021,34953,926
2021-02-10,10/February/2021,32462,901
2021-02-11,11/February/2021,30942,831
2021-02-12,12/February/2021,31903,823
2021-02-13,13/February/2021,14252,689
2021-02-14,14/February/2021,5600,747
2021-02-15,15/February/2021,30841,874
2021-02-16,16/February/2021,28799,821
2021-02-17,17/February/2021,27473,742
2021-02-18,18/February/2021,27603,731
2021-02-19,19/February/2021,27888,698
2021-02-20,20/February/2021,12108,667
2021-02-21,21/February/2021,5986,651
2021-02-22,22/February/2021,32833,747
2021-02-23,23/February/2021,30044,701
2021-02-24,24/February/2021,28750,670
2021-02-25,25/February/2021,28130,647
2021-02-26,26/February/2021,29059,665
2021-02-27,27/February/2021,12487,531
2021-02-28,28/February/2021,5830,590
2021-03-01,01/March/2021,31870,681
2021-03-02,02/March/2021,28656,619
2021-03-03,03/March/2021,27402,685
2021-03-04,04/March/2021,26142,633
2021-03-05,05/March/2021,26635,560
2021-03-06,06/March/2021,11544,492
2021-03-07,07/March/2021,5644,504
2021-03-08,08/March/2021,27694,657
2021-03-09,09/March/2021,25388,555
2021-03-10,10/March/2021,24563,519
2021-03-11,11/March/2021,23983,525
2021-03-12,12/March/2021,24681,519
2021-03-13,13/March/2021,11036,440
2021-03-14,14/March/2021,5265,424
2021-03-15,15/March/2021,7378,449
2021-03-16,16/March/2021,27156,498
2021-03-16,16/March/2021,27156,498
2021-03-17,17/March/2021,24594,480
2021-03-18,18/March/2021,23640,448
2021-03-19,19/March/2021,23405,455
2021-03-20,20/March/2021,10359,375
2021-03-21,21/March/2021,5598,408
2021-03-22,22/March/2021,25682,487
2021-03-23,23/March/2021,24747,414
2021-03-24,24/March/2021,22882,456
2021-03-25,25/March/2021,23191,402
2021-03-26,26/March/2021,21662,412
2021-03-27,27/March/2021,10643,346
2021-03-28,28/March/2021,5607,368
2021-03-29,29/March/2021,24027,492
2021-03-30,30/March/2021,22986,403
2021-03-31,31/March/2021,21226,393
2021-04-01,01/April/2021,9325,346
2021-04-02,02/April/2021,7288,363
2021-04-03,03/April/2021,5642,344
2021-04-04,04/April/2021,5345,343
2021-04-05,05/April/2021,24886,420
2021-04-06,06/April/2021,22805,401
2021-04-07,07/April/2021,22746,387
2021-04-08,08/April/2021,23198,373
2021-04-09,09/April/2021,22557,348
2021-04-10,10/April/2021,11326,316
2021-04-11,11/April/2021,5578,283
2021-04-12,12/April/2021,26133,399
2021-04-13,13/April/2021,24013,337
2021-04-14,14/April/2021,23241,331
2021-04-15,15/April/2021,21961,335
2021-04-16,16/April/2021,20841,307
2021-04-17,17/April/2021,9327,252
2021-04-18,18/April/2021,4857,272
2021-04-19,19/April/2021,23550,342
2021-04-20,20/April/2021,21856,301
2021-04-21,21/April/2021,21769,289
2021-04-22,22/April/2021,20921,279
2021-04-23,23/April/2021,20175,224
2021-04-24,24/April/2021,9624,252
2021-04-25,25/April/2021,4724,226
2021-04-26,26/April/2021,22440,303
2021-04-27,27/April/2021,20132,282
2021-04-28,28/April/2021,19799,238
2021-04-29,29/April/2021,17717,240
2021-04-30,30/April/2021,16491,260
2021-05-01,01/May/2021,4498,163
2021-05-02,02/May/2021,4172,183
2021-05-03,03/May/2021,19484,261
2021-05-04,04/May/2021,18820,223
2021-05-05,05/May/2021,16500,216
2021-05-06,06/May/2021,18417,193
2021-05-07,07/May/2021,17397,212
2021-05-08,08/May/2021,7890,175
2021-05-09,09/May/2021,4191,160
2021-05-10,10/May/2021,9623,181
2021-05-11,11/May/2021,19202,203
2021-05-12,12/May/2021,16937,193
2021-05-13,13/May/2021,15683,194
2021-05-14,14/May/2021,15656,195
2021-05-15,15/May/2021,7288,175
2021-05-16,16/May/2021,4719,142
2021-05-17,17/May/2021,17495,194
2021-05-18,18/May/2021,17180,192
2021-05-19,19/May/2021,16620,181
2021-05-20,20/May/2021,15815,179
2021-05-21,21/May/2021,15910,160
2021-05-22,22/May/2021,7226,125
2021-05-23,23/May/2021,4411,136
2021-05-24,24/May/2021,17306,186
2021-05-25,25/May/2021,16140,198
2021-05-26,26/May/2021,14819,185
2021-05-27,27/May/2021,14652,156
2021-05-28,28/May/2021,15166,173
2021-05-29,29/May/2021,5818,123
2021-05-30,30/May/2021,4214,131
2021-05-31,31/May/2021,16446,188
2021-06-01,01/June/2021,15122,170
2021-06-02,02/June/2021,14313,160
2021-06-03,03/June/2021,14127,169
2021-06-04,04/June/2021,14544,162
2021-06-05,05/June/2021,6091,154
2021-06-06,06/June/2021,3304,147
2021-06-07,07/June/2021,17495,207
2021-06-08,08/June/2021,17214,193
2021-06-09,09/June/2021,16709,182
2021-06-10,10/June/2021,16273,169
2021-06-11,11/June/2021,16097,157
2021-06-12,12/June/2021,7110,145
2021-06-13,13/June/2021,4511,136
2021-06-14,14/June/2021,18457,189
2021-06-15,15/June/2021,17632,207
2021-06-16,16/June/2021,18330,193
2021-06-17,17/June/2021,17958,197
2021-06-18,18/June/2021,18038,189
2021-06-19,19/June/2021,7958,157
2021-06-20,20/June/2021,5119,173
2021-06-21,21/June/2021,21216,206
2021-06-22,22/June/2021,21570,195
2021-06-23,23/June/2021,21978,221
2021-06-24,24/June/2021,21960,244
2021-06-25,25/June/2021,22001,209
2021-06-26,26/June/2021,9787,156
2021-06-27,27/June/2021,5762,174
2021-06-28,28/June/2021,25167,235
2021-06-29,29/June/2021,23134,250
2021-06-30,30/June/2021,22188,239
2021-07-01,01/July/2021,22527,259
2021-07-02,02/July/2021,22971,229
2021-07-03,03/July/2021,11013,207
2021-07-04,04/July/2021,6648,247
2021-07-05,05/July/2021,29564,301
2021-07-06,06/July/2021,28989,303
2021-07-07,07/July/2021,31344,311
2021-07-08,08/July/2021,31237,323
2021-07-09,09/July/2021,33180,327
2021-07-10,10/July/2021,14976,322
2021-07-11,11/July/2021,9217,304
2021-07-12,12/July/2021,40603,394
2021-07-13,13/July/2021,40752,417
2021-07-14,14/July/2021,40947,426
2021-07-15,15/July/2021,41274,459
2021-07-16,16/July/2021,42412,453
2021-07-17,17/July/2021,18586,405
2021-07-18,18/July/2021,11568,433
2021-07-19,19/July/2021,49922,566
2021-07-20,20/July/2021,51103,580
2021-07-21,21/July/2021,51313,609
2021-07-22,22/July/2021,53057,633
2021-07-23,23/July/2021,51776,602
2021-07-24,24/July/2021,22052,569
2021-07-25,25/July/2021,14741,603
2021-07-26,26/July/2021,57738,715
2021-07-27,27/July/2021,57915,757
2021-07-28,28/July/2021,56174,755
2021-07-29,29/July/2021,57050,779
2021-07-30,30/July/2021,54684,782
2021-07-31,31/July/2021,22733,698
2021-08-01,01/August/2021,15941,712
2021-08-02,02/August/2021,59558,899
2021-08-03,03/August/2021,59408,894
2021-08-04,04/August/2021,57303,875
2021-08-05,05/August/2021,56989,919
2021-08-06,06/August/2021,55167,849
2021-08-07,07/August/2021,25137,768
2021-08-08,08/August/2021,16964,865
2021-08-09,09/August/2021,64864,950
2021-08-10,10/August/2021,63324,956
2021-08-11,11/August/2021,60877,903
2021-08-12,12/August/2021,59689,921
2021-08-13,13/August/2021,58478,906
2021-08-14,14/August/2021,24085,816
2021-08-15,15/August/2021,15718,834
2021-08-16,16/August/2021,61679,1030
2021-08-17,17/August/2021,59392,991
2021-08-18,18/August/2021,56269,1008
2021-08-19,19/August/2021,52767,896
2021-08-20,20/August/2021,51377,924
2021-08-21,21/August/2021,19650,786
2021-08-22,22/August/2021,13929,789
2021-08-23,23/August/2021,54258,976
2021-08-24,24/August/2021,50296,896
2021-08-25,25/August/2021,47044,914
2021-08-26,26/August/2021,44875,865
2021-08-27,27/August/2021,42634,798
2021-08-28,28/August/2021,18371,713
2021-08-29,29/August/2021,11636,636
2021-08-30,30/August/2021,47323,820
2021-08-31,31/August/2021,42379,771
2021-09-01,01/September/2021,41357,768
2021-09-02,02/September/2021,39095,741
2021-09-03,03/September/2021,39543,696
2021-09-04,04/September/2021,17381,626
2021-09-05,05/September/2021,10972,554
2021-09-06,06/September/2021,45330,722
2021-09-07,07/September/2021,39516,594
2021-09-08,08/September/2021,36938,631
2021-09-09,09/September/2021,37113,652
2021-09-10,10/September/2021,36687,630
2021-09-11,11/September/2021,15938,566
2021-09-12,12/September/2021,10722,577
2021-09-13,13/September/2021,40871,611
2021-09-14,14/September/2021,36110,634
2021-09-15,15/September/2021,25943,551
2021-09-16,16/September/2021,10485,475
2021-09-17,17/September/2021,36852,579
2021-09-18,18/September/2021,14790,478
2021-09-19,19/September/2021,9876,477
2021-09-20,20/September/2021,40462,598
2021-09-21,21/September/2021,35033,496
2021-09-22,22/September/2021,34447,465
2021-09-23,23/September/2021,31558,460
2021-09-24,24/September/2021,32122,473
2021-09-25,25/September/2021,13345,410
2021-09-26,26/September/2021,9227,371
2021-09-27,27/September/2021,36110,469
2021-09-28,28/September/2021,31087,407
2021-09-29,29/September/2021,28633,434
2021-09-30,30/September/2021,25686,386
2021-10-01,01/October/2021,25799,356
2021-10-02,02/October/2021,11135,365
2021-10-03,03/October/2021,7733,322
2021-10-04,04/October/2021,30458,409
2021-10-05,05/October/2021,27375,340
2021-10-06,06/October/2021,26560,359
2021-10-07,07/October/2021,24480,335
2021-10-08,08/October/2021,24923,339
2021-10-09,09/October/2021,11310,255
2021-10-10,10/October/2021,8551,281
2021-10-11,11/October/2021,30722,362
2021-10-12,12/October/2021,26203,312
2021-10-13,13/October/2021,25091,292
2021-10-14,14/October/2021,24170,315
2021-10-15,15/October/2021,24570,306
2021-10-16,16/October/2021,9665,229
2021-10-17,17/October/2021,6762,227
2021-10-18,18/October/2021,27315,295
2021-10-19,19/October/2021,25019,271
2021-10-20,20/October/2021,24694,250
2021-10-21,21/October/2021,23251,227
2021-10-22,22/October/2021,23072,233
2021-10-23,23/October/2021,9829,190
2021-10-24,24/October/2021,6919,213
2021-10-25,25/October/2021,27491,262
2021-10-26,26/October/2021,23273,219
2021-10-27,27/October/2021,21945,243
2021-10-28,28/October/2021,20904,228
2021-10-29,29/October/2021,19138,196
2021-10-30,30/October/2021,8066,191
2021-10-31,31/October/2021,5323,187
2021-11-01,01/November/2021,18715,195
2021-11-02,02/November/2021,13562,220
2021-11-03,03/November/2021,23423,200
2021-11-04,04/November/2021,22814,204
2021-11-05,05/November/2021,21391,215
2021-11-06,06/November/2021,8422,167
2021-11-07,07/November/2021,6279,190
2021-11-08,08/November/2021,25401,221
2021-11-09,09/November/2021,22567,193
2021-11-10,10/November/2021,21666,207
2021-11-11,11/November/2021,20482,208
2021-11-12,12/November/2021,18993,194
2021-11-13,13/November/2021,7311,152
2021-11-14,14/November/2021,5282,161
2021-11-15,15/November/2021,7693,177
2021-11-16,16/November/2021,22726,188
2021-11-17,17/November/2021,20907,215
2021-11-18,18/November/2021,20588,215
2021-11-19,19/November/2021,18939,177
2021-11-20,20/November/2021,8248,171
2021-11-21,21/November/2021,6592,179
2021-11-22,22/November/2021,23246,205
2021-11-23,23/November/2021,20526,199
2021-11-24,24/November/2021,20050,208
2021-11-25,25/November/2021,19169,200
2021-11-26,26/November/2021,19112,191
2021-11-27,27/November/2021,7810,166
2021-11-28,28/November/2021,5598,169
2021-11-29,29/November/2021,22276,229
2021-11-30,30/November/2021,19538,192
2021-12-01,01/December/2021,18677,186
2021-12-02,02/December/2021,18112,177
2021-12-03,03/December/2021,17775,197
2021-12-04,04/December/2021,6798,162
2021-12-05,05/December/2021,5787,152
2021-12-06,06/December/2021,21895,199
2021-12-07,07/December/2021,19618,159
2021-12-08,08/December/2021,18616,200
2021-12-09,09/December/2021,18693,158
2021-12-10,10/December/2021,16923,195
2021-12-11,11/December/2021,6562,127
2021-12-12,12/December/2021,5330,136
2021-12-13,13/December/2021,19624,176
2021-12-14,14/December/2021,17840,172
2021-12-15,15/December/2021,17664,146
2021-12-16,16/December/2021,16630,155
2021-12-17,17/December/2021,15554,164
2021-12-18,18/December/2021,6624,128
2021-12-19,19/December/2021,5362,122
2021-12-20,20/December/2021,19297,166
2021-12-21,21/December/2021,17684,171
2021-12-22,22/December/2021,18500,138
2021-12-23,23/December/2021,18651,177
2021-12-24,24/December/2021,13797,131
2021-12-25,25/December/2021,4363,113
2021-12-26,26/December/2021,7445,164
2021-12-27,27/December/2021,27079,175
2021-12-28,28/December/2021,29637,172
2021-12-29,29/December/2021,32127,151
2021-12-30,30/December/2021,33848,143
2021-12-31,31/December/2021,26453,148
2022-01-01,01/January/2022,8075,138
2022-01-02,02/January/2022,11919,169
2022-01-03,03/January/2022,49731,178
2022-01-04,04/January/2022,60366,201
2022-01-05,05/January/2022,70105,195
2022-01-06,06/January/2022,73214,201
2022-01-07,07/January/2022,77664,197
2022-01-08,08/January/2022,35413,184
2022-01-09,09/January/2022,28922,211
2022-01-10,10/January/2022,97958,254
2022-01-11,11/January/2022,96396,244
2022-01-12,12/January/2022,93879,262
2022-01-13,13/January/2022,87308,279
2022-01-14,14/January/2022,81297,275
2022-01-15,15/January/2022,33184,261
2022-01-16,16/January/2022,23518,269
2022-01-17,17/January/2022,81198,326
2022-01-18,18/January/2022,73209,294
2022-01-19,19/January/2022,70200,278
2022-01-20,20/January/2022,62074,271
2022-01-21,21/January/2022,54649,228
2022-01-22,22/January/2022,21825,203
2022-01-23,23/January/2022,15810,182
2022-01-24,24/January/2022,54459,189
2022-01-25,25/January/2022,44330,129
2022-01-26,26/January/2022,39453,84
2022-01-27,27/January/2022,31879,31
2022-01-28,28/January/2022,21320,5
2022-01-29,29/January/2022,19,0